VSF,Count
NA,16071075
0.35,107957
0.36,107829
0.34,107466
0.37,107373
0.33,107364
0.32,106736
0.38,106549
0.39,106023
0.4,105733
0.31,105645
0.3,104947
0.41,104128
0.42,103846
0.29,103490
0.43,103178
0.28,101829
0.44,101524
0.45,100526
0.27,100357
0.46,99493
0.26,97535
0.47,97473
0.48,96696
0.49,95344
0.5,94415
0.25,94329
0.51,92807
0.52,91317
0.24,91152
0.53,89916
0.54,88875
0.23,87730
0.55,87241
0.56,85904
0.22,84581
0.57,84254
0.58,82666
0.59,82081
0.6,80740
0.21,79716
0.61,79250
0.62,77849
0.63,76440
0.2,75676
0.64,75251
0.65,74146
0.66,72753
0.67,71209
0.19,71064
0.68,70247
0.69,68954
0.7,67216
0.71,66434
0.18,65975
0.72,65812
0.73,64663
0.74,63266
0.75,61803
0.76,61415
0.77,60244
0.17,59823
0.78,59554
0.79,58236
0.8,56977
0.81,56196
0.16,55679
0.82,54916
0.83,54605
0.84,53732
0.85,52908
0.86,51943
0.87,50762
0.88,49937
0.15,49567
0.89,49257
0.9,48733
0.91,47976
0.92,46839
0.93,46167
0.94,45400
0.95,45290
0.14,44149
0.96,44129
0.97,43550
0.98,42871
0.99,41801
1,41252
1.01,40962
1.02,39959
1.03,39626
0.13,38898
1.04,38878
1.05,38472
1.06,37713
1.07,37328
1.08,36700
1.09,35852
1.1,35232
1.11,34862
1.12,34252
0.12,34042
1.13,34013
1.14,33420
1.15,32985
1.16,32321
1.17,31607
1.18,31338
1.2,31039
1.19,30719
1.21,30329
1.22,29695
0.11,29642
1.23,29487
1.24,28959
1.25,28821
1.26,28007
1.27,27848
1.28,27816
1.29,27367
1.3,26628
1.31,26620
1.32,26270
1.33,26020
0.1,25829
1.34,25511
1.35,25238
1.37,24394
1.36,24373
1.38,24140
1.39,23862
1.4,23617
1.41,23176
1.42,23140
1.43,22962
1.44,22414
1.45,22315
0.09,22311
1.46,21684
1.48,21532
1.47,21518
1.49,21106
1.5,20840
1.51,20572
1.52,20360
1.53,19967
1.55,19783
0.08,19702
1.54,19699
1.56,19465
1.57,19097
1.58,18799
1.59,18586
1.6,18568
1.61,18243
1.62,18040
1.63,17932
1.64,17541
1.65,17431
1.66,17401
1.69,17099
0.07,17065
1.67,17050
1.68,16848
1.7,16528
1.71,16414
1.72,16117
1.73,15832
0.06,15724
1.75,15722
1.74,15661
0.01,15615
1.77,15501
1.76,15499
1.78,15102
1.8,14943
1.79,14868
1.81,14556
1.83,14538
0.05,14533
1.82,14515
1.84,14301
1.85,14058
1.86,13999
0.04,13855
1.87,13853
1.88,13834
0.02,13793
0.03,13537
1.91,13525
1.9,13404
1.89,13323
1.92,13311
1.93,13012
1.94,12990
1.95,12881
1.96,12804
1.97,12578
1.98,12455
1.99,12353
2.01,12317
2,12074
2.03,11971
2.02,11766
2.04,11748
2.05,11623
2.07,11406
2.06,11370
2.08,11355
2.1,11139
